z,n,name,betaMinus,betaMinusUncertainty,electronCapture,electronCaptureUncertainty,positronEmission,positronEmissionUncertainty,bindingEnergy,bindingEnergyUncertainty,bindingEnergyLDMFit,bindingEnergyLDMFitUncertainty
12,9,21Mg,-1.61E+4,6.00E+2,1.30E+4,7.55E-1,1.20E+4,7.55E-1,7.10E+3,3.59E-2,4.31E+1,3.59E-2
12,8,20Mg,,,1.06E+4,2.16,9.60E+3,2.16,6.72E+3,9.31E-2,-1.18E+2,9.31E-2
12,7,19Mg,,,1.89E+4,6.09E+1,1.78E+4,6.09E+1,5.90E+3,3.15,-3.51E+2,3.15
12,6,18Mg,,,,,,,,,,
13,9,22Al,-1.54E+4,6.41E+2,1.86E+4,4.01E+2,1.75E+4,4.01E+2,6.78E+3,1.80E+1,-1.31E+2,1.80E+1
13,8,21Al,,,1.61E+4,6.00E+2,1.51E+4,6.00E+2,6.29E+3,2.90E+1,-2.97E+2,2.90E+1
13,22,35Al,1.41E+4,3.66E+1,-1.58E+4,2.69E+2,-1.68E+4,2.69E+2,7.78E+3,2.10E-1,-9.22,2.10E-1
13,23,36Al,1.83E+4,1.65E+2,-1.44E+4,7.06E+2,-1.54E+4,7.06E+2,7.62E+3,4.15,-7.10E+1,4.15
13,20,33Al,1.20E+4,7.02,-1.34E+4,7.47,-1.44E+4,7.47,8.02E+3,2.11E-1,5.86E+1,2.11E-1
13,21,34Al,1.69E+4,2.25,-1.13E+4,7.20,-1.23E+4,7.20,7.86E+3,6.19E-2,1.35E+1,6.19E-2
13,21,34Al,1.69E+4,2.25,-1.13E+4,7.20,-1.23E+4,7.20,7.86E+3,6.19E-2,1.35E+1,6.19E-2
